data,produto_id,nome_produto_x,categoria_x,quantidade_vendida,preco_unitario,ds,yhat,nome_produto_y,categoria_y
2024-09-10,prod_005,Multiuso,Limpeza,7,30.45,2024-11-30,2742.6184495315906,Multiuso,Limpeza
2024-10-02,prod_019,Papel Filme,Diversos,46,30.87,2024-11-30,1489.0666020246524,Esmalte,Cosméticos
2024-08-31,prod_007,Desinfetante,Limpeza,44,41.66,2024-11-30,1527.638736889167,Limpa Vidros,Limpeza
2024-06-24,prod_031,Requeijão,Frios e Laticínios,72,40.28,2024-11-30,1551.2663254767594,Biscoito,Padaria
2024-08-29,prod_035,Loção Hidratante,Cosméticos,91,26.21,2024-11-30,1423.97693029008,Lâmpada,Diversos
2024-08-22,prod_015,Detergente,Limpeza,30,38.8,2024-11-30,1430.942761855685,Manteiga,Frios e Laticínios
2024-07-10,prod_045,Biscoito,Padaria,80,23.74,2024-11-30,1569.600782792661,Desinfetante,Limpeza
2024-06-11,prod_038,Guardanapos,Diversos,11,35.43,2024-11-30,1533.8171808066024,Vinho Tinto,Bebidas
2024-09-14,prod_033,Nuggets,Congelados,2,22.43,2024-11-30,1370.8583788677397,Lasanha Congelada,Congelados
2024-07-05,prod_008,Energético,Bebidas,89,30.29,2024-11-30,1521.7651787243078,Sorvete,Congelados
2024-07-05,prod_037,Fio Dental,Higiene,90,13.07,2024-11-30,1496.8549106221392,Presunto,Frios e Laticínios
2024-07-25,prod_049,Linguiça,Carnes,47,14.19,2024-11-30,1571.4364900452802,Energético,Bebidas
2024-05-07,prod_002,Desodorante,Higiene,12,10.5,2024-11-30,1559.326432389065,Desinfetante,Limpeza
2024-05-26,prod_034,Cerveja,Bebidas,43,46.47,2024-11-30,1640.183255056216,Papel Filme,Diversos
2024-09-01,prod_027,Hambúrguer Congelado,Congelados,24,42.77,2024-11-30,1325.1091744191249,Fio Dental,Higiene
2024-10-15,prod_034,Cerveja,Bebidas,19,46.47,2024-11-30,1640.183255056216,Papel Filme,Diversos
2024-05-12,prod_043,Creme Dental,Higiene,59,41.05,2024-11-30,1336.4224609079429,Condicionador,Higiene
2024-09-23,prod_024,Perfume,Cosméticos,88,15.81,2024-11-30,2594.6055686525374,Perfume,Cosméticos
2024-09-09,prod_016,Manteiga,Frios e Laticínios,7,10.68,2024-11-30,1602.8620517841862,Croissant,Padaria
2024-08-26,prod_024,Perfume,Cosméticos,29,15.81,2024-11-30,2594.6055686525374,Perfume,Cosméticos
2024-07-25,prod_007,Desinfetante,Limpeza,94,41.66,2024-11-30,1527.638736889167,Limpa Vidros,Limpeza
2024-07-13,prod_009,Presunto,Frios e Laticínios,98,12.19,2024-11-30,1424.3250507345297,Arroz,Alimentação
2024-05-01,prod_031,Requeijão,Frios e Laticínios,7,40.28,2024-11-30,1551.2663254767594,Biscoito,Padaria
2024-08-04,prod_039,Peixe Congelado,Congelados,4,32.36,2024-11-30,1502.9551923797003,Feijão,Alimentação
2024-10-16,prod_038,Guardanapos,Diversos,50,35.43,2024-11-30,1533.8171808066024,Vinho Tinto,Bebidas
2024-08-21,prod_020,Farinha de Trigo,Alimentação,93,5.56,2024-11-30,1491.4639314415322,Sorvete,Congelados
2024-05-03,prod_008,Energético,Bebidas,43,30.29,2024-11-30,1521.7651787243078,Sorvete,Congelados
2024-06-01,prod_048,Condicionador,Higiene,62,24.66,2024-11-30,1505.1264611941092,Lasanha Congelada,Congelados
2024-08-02,prod_002,Desodorante,Higiene,7,10.5,2024-11-30,1559.326432389065,Desinfetante,Limpeza
2024-07-20,prod_010,Costela,Carnes,5,10.39,2024-11-30,1344.1082865451142,Bife de Alcatra,Carnes
2024-06-18,prod_013,Perfume,Cosméticos,15,21.84,2024-11-30,1678.9102613361465,Manteiga,Frios e Laticínios
2024-06-03,prod_048,Condicionador,Higiene,14,24.66,2024-11-30,1505.1264611941092,Lasanha Congelada,Congelados
2024-08-31,prod_003,Sabão em Pó,Limpeza,18,5.08,2024-11-30,1582.6254847891569,Manteiga,Frios e Laticínios
2024-10-10,prod_050,Desodorante,Higiene,14,25.41,2024-11-30,1350.7101483318484,Farinha de Trigo,Alimentação
2024-07-27,prod_045,Biscoito,Padaria,80,23.74,2024-11-30,1569.600782792661,Desinfetante,Limpeza
2024-09-12,prod_030,Perfume,Cosméticos,36,36.85,2024-11-30,1486.212670359204,Vinho Tinto,Bebidas
2024-06-23,prod_042,Farinha de Trigo,Alimentação,86,7.48,2024-11-30,1492.7891262132096,Açúcar,Alimentação
2024-10-03,prod_044,Batata Frita Congelada,Congelados,86,13.67,2024-11-30,1539.6172481861358,Linguiça,Carnes
2024-10-15,prod_031,Requeijão,Frios e Laticínios,18,40.28,2024-11-30,1551.2663254767594,Biscoito,Padaria
2024-05-01,prod_005,Multiuso,Limpeza,43,30.45,2024-11-30,2742.6184495315906,Multiuso,Limpeza
2024-10-16,prod_015,Detergente,Limpeza,32,38.8,2024-11-30,1430.942761855685,Manteiga,Frios e Laticínios
2024-05-13,prod_002,Desodorante,Higiene,60,10.5,2024-11-30,1559.326432389065,Desinfetante,Limpeza
2024-04-23,prod_016,Manteiga,Frios e Laticínios,69,10.68,2024-11-30,1602.8620517841862,Croissant,Padaria
2024-05-25,prod_024,Perfume,Cosméticos,52,15.81,2024-11-30,2594.6055686525374,Perfume,Cosméticos
2024-07-18,prod_013,Perfume,Cosméticos,12,21.84,2024-11-30,1678.9102613361465,Manteiga,Frios e Laticínios
2024-08-29,prod_024,Perfume,Cosméticos,67,15.81,2024-11-30,2594.6055686525374,Perfume,Cosméticos
2024-05-25,prod_025,Picanha,Carnes,29,28.87,2024-11-30,1619.4968051646013,Filé de Peito de Frango,Carnes
2024-05-09,prod_017,Amaciante,Limpeza,95,21.47,2024-11-30,1576.461218135125,Pão Integral,Padaria
2024-10-12,prod_023,Fósforo,Diversos,16,6.76,2024-11-30,1558.8512950877998,Desinfetante,Limpeza
2024-05-10,prod_020,Farinha de Trigo,Alimentação,32,5.56,2024-11-30,1491.4639314415322,Sorvete,Congelados
2024-04-26,prod_033,Nuggets,Congelados,86,22.43,2024-11-30,1370.8583788677397,Lasanha Congelada,Congelados
2024-04-23,prod_022,Condicionador,Higiene,17,36.86,2024-11-30,1538.169528954254,Feijão,Alimentação
2024-05-06,prod_022,Condicionador,Higiene,92,36.86,2024-11-30,1538.169528954254,Feijão,Alimentação
2024-08-25,prod_036,Creme Dental,Higiene,87,32.87,2024-11-30,1667.2522033960106,Sabonete Líquido,Higiene
2024-09-10,prod_036,Creme Dental,Higiene,16,32.87,2024-11-30,1667.2522033960106,Sabonete Líquido,Higiene
2024-06-30,prod_023,Fósforo,Diversos,60,6.76,2024-11-30,1558.8512950877998,Desinfetante,Limpeza
2024-08-06,prod_019,Papel Filme,Diversos,79,30.87,2024-11-30,1489.0666020246524,Esmalte,Cosméticos
2024-06-03,prod_040,Hambúrguer Congelado,Congelados,25,26.23,2024-11-30,1492.8087852485123,Café,Alimentação
2024-08-27,prod_041,Amaciante,Limpeza,61,27.1,2024-11-30,1591.5433289430614,Fósforo,Diversos
2024-07-09,prod_050,Desodorante,Higiene,56,25.41,2024-11-30,1350.7101483318484,Farinha de Trigo,Alimentação
2024-10-15,prod_022,Condicionador,Higiene,66,36.86,2024-11-30,1538.169528954254,Feijão,Alimentação
2024-09-19,prod_049,Linguiça,Carnes,61,14.19,2024-11-30,1571.4364900452802,Energético,Bebidas
2024-06-23,prod_028,Azeite de Oliva,Alimentação,45,6.99,2024-11-30,1497.0754394272983,Linguiça,Carnes
2024-05-17,prod_023,Fósforo,Diversos,46,6.76,2024-11-30,1558.8512950877998,Desinfetante,Limpeza
2024-07-30,prod_047,Frango,Carnes,52,34.68,2024-11-30,1297.9309525244728,Torta de Frango,Padaria
2024-08-21,prod_046,Peixe Congelado,Congelados,39,14.54,2024-11-30,1351.3873691568078,Loção Hidratante,Cosméticos
2024-06-25,prod_004,Energético,Bebidas,85,39.46,2024-11-30,1454.1478280586434,Fósforo,Diversos
2024-10-09,prod_041,Amaciante,Limpeza,62,27.1,2024-11-30,1591.5433289430614,Fósforo,Diversos
2024-06-30,prod_031,Requeijão,Frios e Laticínios,86,40.28,2024-11-30,1551.2663254767594,Biscoito,Padaria
2024-08-11,prod_016,Manteiga,Frios e Laticínios,28,10.68,2024-11-30,1602.8620517841862,Croissant,Padaria
2024-08-14,prod_021,Condicionador,Higiene,12,31.54,2024-11-30,1383.926075406138,Hambúrguer Congelado,Congelados
2024-05-02,prod_030,Perfume,Cosméticos,83,36.85,2024-11-30,1486.212670359204,Vinho Tinto,Bebidas
2024-06-15,prod_009,Presunto,Frios e Laticínios,57,12.19,2024-11-30,1424.3250507345297,Arroz,Alimentação
2024-06-10,prod_044,Batata Frita Congelada,Congelados,57,13.67,2024-11-30,1539.6172481861358,Linguiça,Carnes
2024-05-17,prod_022,Condicionador,Higiene,2,36.86,2024-11-30,1538.169528954254,Feijão,Alimentação
2024-04-26,prod_009,Presunto,Frios e Laticínios,60,12.19,2024-11-30,1424.3250507345297,Arroz,Alimentação
2024-05-30,prod_012,Loção Hidratante,Cosméticos,9,6.52,2024-11-30,1134.5062838805495,Suco de Laranja,Bebidas
2024-08-11,prod_042,Farinha de Trigo,Alimentação,59,7.48,2024-11-30,1492.7891262132096,Açúcar,Alimentação
2024-07-13,prod_029,Condicionador,Higiene,38,11.87,2024-11-30,1537.287760979408,Carvão para Churrasco,Diversos
2024-04-30,prod_009,Presunto,Frios e Laticínios,57,12.19,2024-11-30,1424.3250507345297,Arroz,Alimentação
2024-05-18,prod_031,Requeijão,Frios e Laticínios,14,40.28,2024-11-30,1551.2663254767594,Biscoito,Padaria
2024-07-22,prod_021,Condicionador,Higiene,11,31.54,2024-11-30,1383.926075406138,Hambúrguer Congelado,Congelados
2024-09-16,prod_029,Condicionador,Higiene,44,11.87,2024-11-30,1537.287760979408,Carvão para Churrasco,Diversos
2024-08-02,prod_011,Peixe Congelado,Congelados,64,23.12,2024-11-30,1433.2102699303432,Sabonete,Higiene
2024-06-20,prod_046,Peixe Congelado,Congelados,4,14.54,2024-11-30,1351.3873691568078,Loção Hidratante,Cosméticos
2024-07-10,prod_023,Fósforo,Diversos,17,6.76,2024-11-30,1558.8512950877998,Desinfetante,Limpeza
2024-07-27,prod_036,Creme Dental,Higiene,89,32.87,2024-11-30,1667.2522033960106,Sabonete Líquido,Higiene
2024-05-04,prod_025,Picanha,Carnes,65,28.87,2024-11-30,1619.4968051646013,Filé de Peito de Frango,Carnes
2024-07-03,prod_005,Multiuso,Limpeza,93,30.45,2024-11-30,2742.6184495315906,Multiuso,Limpeza
2024-09-04,prod_045,Biscoito,Padaria,9,23.74,2024-11-30,1569.600782792661,Desinfetante,Limpeza
2024-10-02,prod_009,Presunto,Frios e Laticínios,73,12.19,2024-11-30,1424.3250507345297,Arroz,Alimentação
2024-06-02,prod_030,Perfume,Cosméticos,97,36.85,2024-11-30,1486.212670359204,Vinho Tinto,Bebidas
2024-05-01,prod_034,Cerveja,Bebidas,72,46.47,2024-11-30,1640.183255056216,Papel Filme,Diversos
2024-09-20,prod_004,Energético,Bebidas,23,39.46,2024-11-30,1454.1478280586434,Fósforo,Diversos
2024-05-28,prod_023,Fósforo,Diversos,66,6.76,2024-11-30,1558.8512950877998,Desinfetante,Limpeza
2024-06-21,prod_012,Loção Hidratante,Cosméticos,1,6.52,2024-11-30,1134.5062838805495,Suco de Laranja,Bebidas
2024-05-12,prod_044,Batata Frita Congelada,Congelados,7,13.67,2024-11-30,1539.6172481861358,Linguiça,Carnes
2024-10-16,prod_007,Desinfetante,Limpeza,17,41.66,2024-11-30,1527.638736889167,Limpa Vidros,Limpeza
2024-09-25,prod_035,Loção Hidratante,Cosméticos,74,26.21,2024-11-30,1423.97693029008,Lâmpada,Diversos
2024-06-04,prod_006,Água Mineral,Bebidas,64,33.12,2024-11-30,1601.1793309251757,Costela,Carnes
2024-05-01,prod_014,Pilhas,Diversos,99,27.52,2024-11-30,1366.6256205078312,Base,Cosméticos
2024-09-08,prod_030,Perfume,Cosméticos,80,36.85,2024-11-30,1486.212670359204,Vinho Tinto,Bebidas
2024-06-09,prod_036,Creme Dental,Higiene,15,32.87,2024-11-30,1667.2522033960106,Sabonete Líquido,Higiene
2024-08-22,prod_026,Hambúrguer Congelado,Congelados,55,28.57,2024-11-30,1366.9350814546483,Leite Integral,Frios e Laticínios
2024-08-14,prod_047,Frango,Carnes,71,34.68,2024-11-30,1297.9309525244728,Torta de Frango,Padaria
2024-06-03,prod_012,Loção Hidratante,Cosméticos,59,6.52,2024-11-30,1134.5062838805495,Suco de Laranja,Bebidas
2024-06-18,prod_008,Energético,Bebidas,52,30.29,2024-11-30,1521.7651787243078,Sorvete,Congelados
2024-09-27,prod_039,Peixe Congelado,Congelados,41,32.36,2024-11-30,1502.9551923797003,Feijão,Alimentação
2024-06-10,prod_017,Amaciante,Limpeza,99,21.47,2024-11-30,1576.461218135125,Pão Integral,Padaria
2024-08-06,prod_013,Perfume,Cosméticos,54,21.84,2024-11-30,1678.9102613361465,Manteiga,Frios e Laticínios
2024-05-06,prod_023,Fósforo,Diversos,32,6.76,2024-11-30,1558.8512950877998,Desinfetante,Limpeza
2024-07-21,prod_026,Hambúrguer Congelado,Congelados,52,28.57,2024-11-30,1366.9350814546483,Leite Integral,Frios e Laticínios
2024-09-30,prod_048,Condicionador,Higiene,29,24.66,2024-11-30,1505.1264611941092,Lasanha Congelada,Congelados
2024-09-29,prod_013,Perfume,Cosméticos,74,21.84,2024-11-30,1678.9102613361465,Manteiga,Frios e Laticínios
2024-07-28,prod_034,Cerveja,Bebidas,100,46.47,2024-11-30,1640.183255056216,Papel Filme,Diversos
2024-08-29,prod_015,Detergente,Limpeza,9,38.8,2024-11-30,1430.942761855685,Manteiga,Frios e Laticínios
2024-10-14,prod_023,Fósforo,Diversos,71,6.76,2024-11-30,1558.8512950877998,Desinfetante,Limpeza
2024-10-12,prod_023,Fósforo,Diversos,29,6.76,2024-11-30,1558.8512950877998,Desinfetante,Limpeza
2024-05-21,prod_034,Cerveja,Bebidas,10,46.47,2024-11-30,1640.183255056216,Papel Filme,Diversos
2024-07-20,prod_019,Papel Filme,Diversos,72,30.87,2024-11-30,1489.0666020246524,Esmalte,Cosméticos
2024-05-05,prod_016,Manteiga,Frios e Laticínios,72,10.68,2024-11-30,1602.8620517841862,Croissant,Padaria
2024-04-25,prod_008,Energético,Bebidas,26,30.29,2024-11-30,1521.7651787243078,Sorvete,Congelados
2024-05-08,prod_042,Farinha de Trigo,Alimentação,26,7.48,2024-11-30,1492.7891262132096,Açúcar,Alimentação
2024-07-20,prod_038,Guardanapos,Diversos,88,35.43,2024-11-30,1533.8171808066024,Vinho Tinto,Bebidas
2024-05-02,prod_049,Linguiça,Carnes,64,14.19,2024-11-30,1571.4364900452802,Energético,Bebidas
2024-10-16,prod_014,Pilhas,Diversos,44,27.52,2024-11-30,1366.6256205078312,Base,Cosméticos
2024-09-05,prod_015,Detergente,Limpeza,64,38.8,2024-11-30,1430.942761855685,Manteiga,Frios e Laticínios
2024-09-13,prod_041,Amaciante,Limpeza,32,27.1,2024-11-30,1591.5433289430614,Fósforo,Diversos
2024-09-11,prod_015,Detergente,Limpeza,88,38.8,2024-11-30,1430.942761855685,Manteiga,Frios e Laticínios
2024-09-20,prod_004,Energético,Bebidas,9,39.46,2024-11-30,1454.1478280586434,Fósforo,Diversos
2024-06-27,prod_043,Creme Dental,Higiene,14,41.05,2024-11-30,1336.4224609079429,Condicionador,Higiene
2024-07-29,prod_050,Desodorante,Higiene,37,25.41,2024-11-30,1350.7101483318484,Farinha de Trigo,Alimentação
2024-05-18,prod_028,Azeite de Oliva,Alimentação,89,6.99,2024-11-30,1497.0754394272983,Linguiça,Carnes
2024-10-19,prod_008,Energético,Bebidas,84,30.29,2024-11-30,1521.7651787243078,Sorvete,Congelados
2024-04-29,prod_021,Condicionador,Higiene,72,31.54,2024-11-30,1383.926075406138,Hambúrguer Congelado,Congelados
2024-05-16,prod_047,Frango,Carnes,17,34.68,2024-11-30,1297.9309525244728,Torta de Frango,Padaria
2024-10-13,prod_015,Detergente,Limpeza,4,38.8,2024-11-30,1430.942761855685,Manteiga,Frios e Laticínios
2024-08-20,prod_031,Requeijão,Frios e Laticínios,25,40.28,2024-11-30,1551.2663254767594,Biscoito,Padaria
2024-05-13,prod_042,Farinha de Trigo,Alimentação,55,7.48,2024-11-30,1492.7891262132096,Açúcar,Alimentação
2024-06-26,prod_016,Manteiga,Frios e Laticínios,64,10.68,2024-11-30,1602.8620517841862,Croissant,Padaria
2024-05-08,prod_004,Energético,Bebidas,92,39.46,2024-11-30,1454.1478280586434,Fósforo,Diversos
2024-09-17,prod_004,Energético,Bebidas,78,39.46,2024-11-30,1454.1478280586434,Fósforo,Diversos
2024-07-30,prod_037,Fio Dental,Higiene,50,13.07,2024-11-30,1496.8549106221392,Presunto,Frios e Laticínios
2024-05-08,prod_026,Hambúrguer Congelado,Congelados,82,28.57,2024-11-30,1366.9350814546483,Leite Integral,Frios e Laticínios
2024-07-10,prod_025,Picanha,Carnes,61,28.87,2024-11-30,1619.4968051646013,Filé de Peito de Frango,Carnes
2024-07-11,prod_025,Picanha,Carnes,88,28.87,2024-11-30,1619.4968051646013,Filé de Peito de Frango,Carnes
2024-07-15,prod_031,Requeijão,Frios e Laticínios,23,40.28,2024-11-30,1551.2663254767594,Biscoito,Padaria
2024-05-19,prod_044,Batata Frita Congelada,Congelados,96,13.67,2024-11-30,1539.6172481861358,Linguiça,Carnes
