data,produto_id,nome_produto,categoria,quantidade_vendida,preco_unitario
2024-09-01,prod_049,Loção Hidratante,Cosméticos,36,18.19
2024-05-02,prod_042,Esponja de Aço,Limpeza,47,34.71
2024-07-28,prod_014,Protetor Solar,Cosméticos,56,12.84
2024-08-23,prod_020,Limpa Vidros,Limpeza,95,10.48
2024-07-17,prod_050,Esponja de Aço,Limpeza,78,30.0
2024-08-04,prod_011,Peixe Congelado,Congelados,44,24.04
2024-05-19,prod_029,Pão de Forma,Padaria,84,11.52
2024-08-03,prod_014,Protetor Solar,Cosméticos,98,12.84
2024-10-10,prod_024,Amaciante,Limpeza,92,14.44
2024-10-04,prod_039,Suco de Laranja,Bebidas,24,47.16
2024-09-25,prod_026,Nuggets,Congelados,66,10.42
2024-09-20,prod_034,Guardanapos,Diversos,16,7.56
2024-09-25,prod_045,Requeijão,Frios e Laticínios,43,34.06
2024-10-18,prod_015,Pão de Forma,Padaria,31,42.57
2024-05-20,prod_016,Croissant,Padaria,90,37.36
2024-07-09,prod_027,Leite Integral,Frios e Laticínios,42,22.96
2024-05-28,prod_036,Pão Integral,Padaria,96,11.68
2024-06-24,prod_027,Leite Integral,Frios e Laticínios,6,22.96
2024-09-14,prod_035,Esmalte,Cosméticos,65,45.96
2024-08-03,prod_037,Linguiça,Carnes,69,41.8
2024-04-24,prod_047,Pão Francês,Padaria,59,17.71
2024-06-05,prod_013,Costela,Carnes,61,17.56
2024-08-27,prod_012,Açúcar,Alimentação,54,7.35
2024-10-15,prod_045,Requeijão,Frios e Laticínios,43,34.06
2024-10-04,prod_017,Esponja de Aço,Limpeza,14,14.38
2024-05-09,prod_016,Croissant,Padaria,24,37.36
2024-08-12,prod_003,Bife de Alcatra,Carnes,53,38.02
2024-06-14,prod_033,Sabão em Pó,Limpeza,96,13.43
2024-05-26,prod_042,Esponja de Aço,Limpeza,63,34.71
2024-05-03,prod_031,Condicionador,Higiene,59,8.94
2024-06-21,prod_014,Protetor Solar,Cosméticos,44,12.84
2024-10-11,prod_026,Nuggets,Congelados,77,10.42
2024-07-02,prod_040,Nuggets,Congelados,87,29.19
2024-06-25,prod_048,Peixe Congelado,Congelados,56,15.82
2024-06-10,prod_025,Peixe Congelado,Congelados,34,48.54
2024-07-24,prod_036,Pão Integral,Padaria,29,11.68
2024-07-07,prod_047,Pão Francês,Padaria,4,17.71
2024-08-28,prod_007,Condicionador,Higiene,30,13.53
2024-06-08,prod_002,Perfume,Cosméticos,49,40.75
2024-08-12,prod_012,Açúcar,Alimentação,40,7.35
2024-07-23,prod_027,Leite Integral,Frios e Laticínios,61,22.96
2024-09-06,prod_039,Suco de Laranja,Bebidas,38,47.16
2024-05-10,prod_018,Leite Integral,Frios e Laticínios,59,28.75
2024-09-27,prod_007,Condicionador,Higiene,79,13.53
2024-07-22,prod_003,Bife de Alcatra,Carnes,27,38.02
2024-07-10,prod_032,Requeijão,Frios e Laticínios,26,8.51
2024-09-09,prod_049,Loção Hidratante,Cosméticos,14,18.19
2024-05-26,prod_046,Amaciante,Limpeza,5,36.75
2024-06-18,prod_042,Esponja de Aço,Limpeza,95,34.71
2024-06-24,prod_009,Suco de Laranja,Bebidas,37,33.15
2024-10-01,prod_034,Guardanapos,Diversos,4,7.56
2024-10-17,prod_045,Requeijão,Frios e Laticínios,36,34.06
2024-05-30,prod_023,Queijo Mussarela,Frios e Laticínios,16,21.01
2024-04-25,prod_023,Queijo Mussarela,Frios e Laticínios,19,21.01
2024-05-03,prod_040,Nuggets,Congelados,90,29.19
2024-06-20,prod_014,Protetor Solar,Cosméticos,68,12.84
2024-04-27,prod_030,Croissant,Padaria,70,49.73
2024-07-03,prod_008,Carne Moída,Carnes,75,39.03
2024-10-18,prod_004,Requeijão,Frios e Laticínios,49,14.14
2024-09-30,prod_029,Pão de Forma,Padaria,78,11.52
2024-10-10,prod_017,Esponja de Aço,Limpeza,72,14.38
2024-05-28,prod_021,Carvão para Churrasco,Diversos,53,5.64
2024-07-24,prod_008,Carne Moída,Carnes,75,39.03
2024-06-20,prod_036,Pão Integral,Padaria,43,11.68
2024-10-07,prod_044,Manteiga,Frios e Laticínios,78,39.71
2024-06-12,prod_009,Suco de Laranja,Bebidas,14,33.15
2024-09-02,prod_009,Suco de Laranja,Bebidas,80,33.15
2024-05-23,prod_046,Amaciante,Limpeza,61,36.75
2024-07-24,prod_050,Esponja de Aço,Limpeza,31,30.0
2024-06-21,prod_020,Limpa Vidros,Limpeza,92,10.48
2024-06-21,prod_009,Suco de Laranja,Bebidas,21,33.15
2024-10-05,prod_038,Pizza Congelada,Congelados,59,37.38
2024-09-04,prod_048,Peixe Congelado,Congelados,49,15.82
2024-07-15,prod_036,Pão Integral,Padaria,82,11.68
2024-08-20,prod_042,Esponja de Aço,Limpeza,92,34.71
2024-09-23,prod_044,Manteiga,Frios e Laticínios,29,39.71
2024-09-19,prod_043,Farinha de Trigo,Alimentação,20,11.56
2024-05-14,prod_045,Requeijão,Frios e Laticínios,4,34.06
2024-10-14,prod_026,Nuggets,Congelados,11,10.42
2024-10-01,prod_015,Pão de Forma,Padaria,41,42.57
2024-08-04,prod_037,Linguiça,Carnes,9,41.8
2024-06-19,prod_027,Leite Integral,Frios e Laticínios,47,22.96
2024-09-04,prod_038,Pizza Congelada,Congelados,63,37.38
2024-06-01,prod_034,Guardanapos,Diversos,78,7.56
2024-08-16,prod_034,Guardanapos,Diversos,67,7.56
2024-05-21,prod_008,Carne Moída,Carnes,20,39.03
2024-08-10,prod_014,Protetor Solar,Cosméticos,87,12.84
2024-07-27,prod_002,Perfume,Cosméticos,75,40.75
2024-10-14,prod_036,Pão Integral,Padaria,100,11.68
2024-08-23,prod_031,Condicionador,Higiene,44,8.94
2024-09-06,prod_039,Suco de Laranja,Bebidas,4,47.16
2024-09-12,prod_045,Requeijão,Frios e Laticínios,31,34.06
2024-09-06,prod_041,Fósforo,Diversos,79,36.86
2024-08-13,prod_041,Fósforo,Diversos,57,36.86
2024-05-21,prod_004,Requeijão,Frios e Laticínios,1,14.14
2024-05-06,prod_007,Condicionador,Higiene,70,13.53
2024-04-28,prod_033,Sabão em Pó,Limpeza,54,13.43
2024-09-08,prod_007,Condicionador,Higiene,33,13.53
2024-08-21,prod_032,Requeijão,Frios e Laticínios,51,8.51
2024-07-10,prod_037,Linguiça,Carnes,19,41.8
2024-07-09,prod_020,Limpa Vidros,Limpeza,61,10.48
2024-10-09,prod_033,Sabão em Pó,Limpeza,81,13.43
2024-05-09,prod_037,Linguiça,Carnes,14,41.8
2024-08-22,prod_031,Condicionador,Higiene,58,8.94
2024-05-08,prod_019,Hambúrguer Congelado,Congelados,50,46.57
2024-07-07,prod_034,Guardanapos,Diversos,17,7.56
2024-07-27,prod_030,Croissant,Padaria,44,49.73
2024-06-24,prod_007,Condicionador,Higiene,77,13.53
2024-09-25,prod_042,Esponja de Aço,Limpeza,27,34.71
2024-10-08,prod_045,Requeijão,Frios e Laticínios,32,34.06
2024-05-20,prod_020,Limpa Vidros,Limpeza,79,10.48
2024-09-19,prod_048,Peixe Congelado,Congelados,85,15.82
2024-06-24,prod_009,Suco de Laranja,Bebidas,98,33.15
2024-08-31,prod_013,Costela,Carnes,70,17.56
2024-04-25,prod_017,Esponja de Aço,Limpeza,89,14.38
2024-08-20,prod_020,Limpa Vidros,Limpeza,52,10.48
2024-06-16,prod_029,Pão de Forma,Padaria,98,11.52
2024-10-13,prod_030,Croissant,Padaria,53,49.73
2024-09-16,prod_047,Pão Francês,Padaria,37,17.71
2024-07-14,prod_032,Requeijão,Frios e Laticínios,2,8.51
2024-08-16,prod_007,Condicionador,Higiene,8,13.53
2024-10-05,prod_008,Carne Moída,Carnes,54,39.03
2024-09-18,prod_003,Bife de Alcatra,Carnes,94,38.02
2024-08-25,prod_009,Suco de Laranja,Bebidas,63,33.15
2024-08-07,prod_033,Sabão em Pó,Limpeza,89,13.43
2024-07-05,prod_049,Loção Hidratante,Cosméticos,23,18.19
2024-07-09,prod_023,Queijo Mussarela,Frios e Laticínios,60,21.01
2024-04-28,prod_050,Esponja de Aço,Limpeza,45,30.0
2024-09-20,prod_040,Nuggets,Congelados,87,29.19
2024-09-07,prod_046,Amaciante,Limpeza,34,36.75
2024-06-10,prod_022,Filé de Peito de Frango,Carnes,43,36.71
2024-08-10,prod_034,Guardanapos,Diversos,18,7.56
2024-08-26,prod_034,Guardanapos,Diversos,60,7.56
2024-06-19,prod_007,Condicionador,Higiene,90,13.53
2024-06-15,prod_046,Amaciante,Limpeza,47,36.75
2024-08-26,prod_042,Esponja de Aço,Limpeza,79,34.71
2024-05-10,prod_027,Leite Integral,Frios e Laticínios,21,22.96
2024-09-19,prod_044,Manteiga,Frios e Laticínios,19,39.71
2024-09-10,prod_047,Pão Francês,Padaria,51,17.71
2024-06-25,prod_005,Multiuso,Limpeza,62,29.72
2024-07-22,prod_025,Peixe Congelado,Congelados,42,48.54
2024-07-09,prod_045,Requeijão,Frios e Laticínios,55,34.06
2024-10-01,prod_003,Bife de Alcatra,Carnes,89,38.02
2024-07-13,prod_031,Condicionador,Higiene,37,8.94
2024-06-30,prod_037,Linguiça,Carnes,30,41.8
2024-05-10,prod_029,Pão de Forma,Padaria,89,11.52
2024-08-04,prod_027,Leite Integral,Frios e Laticínios,94,22.96
2024-04-29,prod_010,Iogurte,Frios e Laticínios,47,16.1
2024-07-26,prod_029,Pão de Forma,Padaria,42,11.52
2024-08-25,prod_043,Farinha de Trigo,Alimentação,67,11.56
2024-08-30,prod_016,Croissant,Padaria,25,37.36
2024-07-25,prod_031,Condicionador,Higiene,26,8.94
2024-08-03,prod_049,Loção Hidratante,Cosméticos,59,18.19
2024-06-09,prod_004,Requeijão,Frios e Laticínios,11,14.14
2024-08-16,prod_013,Costela,Carnes,2,17.56
2024-04-29,prod_031,Condicionador,Higiene,45,8.94
2024-06-21,prod_042,Esponja de Aço,Limpeza,92,34.71
2024-09-05,prod_023,Queijo Mussarela,Frios e Laticínios,1,21.01
2024-05-20,prod_002,Perfume,Cosméticos,69,40.75
2024-07-03,prod_026,Nuggets,Congelados,47,10.42
2024-09-06,prod_027,Leite Integral,Frios e Laticínios,78,22.96
2024-06-04,prod_024,Amaciante,Limpeza,13,14.44
2024-07-16,prod_006,Batata Frita Congelada,Congelados,20,45.94
2024-05-26,prod_046,Amaciante,Limpeza,51,36.75
2024-07-29,prod_045,Requeijão,Frios e Laticínios,84,34.06
2024-08-17,prod_009,Suco de Laranja,Bebidas,86,33.15
2024-06-14,prod_027,Leite Integral,Frios e Laticínios,8,22.96
2024-08-26,prod_011,Peixe Congelado,Congelados,18,24.04
2024-08-05,prod_044,Manteiga,Frios e Laticínios,2,39.71
2024-05-14,prod_029,Pão de Forma,Padaria,83,11.52
2024-10-08,prod_031,Condicionador,Higiene,66,8.94
2024-05-29,prod_029,Pão de Forma,Padaria,6,11.52
2024-09-30,prod_049,Loção Hidratante,Cosméticos,96,18.19
2024-10-15,prod_034,Guardanapos,Diversos,99,7.56
2024-08-01,prod_020,Limpa Vidros,Limpeza,68,10.48
2024-08-23,prod_040,Nuggets,Congelados,26,29.19
2024-07-29,prod_014,Protetor Solar,Cosméticos,92,12.84
2024-05-14,prod_018,Leite Integral,Frios e Laticínios,67,28.75
2024-08-01,prod_013,Costela,Carnes,37,17.56
2024-08-23,prod_017,Esponja de Aço,Limpeza,55,14.38
2024-09-26,prod_047,Pão Francês,Padaria,84,17.71
2024-08-27,prod_045,Requeijão,Frios e Laticínios,66,34.06
2024-08-27,prod_013,Costela,Carnes,1,17.56
2024-09-14,prod_044,Manteiga,Frios e Laticínios,14,39.71
2024-10-01,prod_006,Batata Frita Congelada,Congelados,77,45.94
2024-10-20,prod_006,Batata Frita Congelada,Congelados,84,45.94
2024-09-25,prod_033,Sabão em Pó,Limpeza,36,13.43
2024-10-17,prod_021,Carvão para Churrasco,Diversos,24,5.64
2024-08-16,prod_033,Sabão em Pó,Limpeza,32,13.43
2024-05-24,prod_008,Carne Moída,Carnes,17,39.03
2024-05-28,prod_002,Perfume,Cosméticos,67,40.75
2024-05-27,prod_024,Amaciante,Limpeza,1,14.44
2024-05-20,prod_046,Amaciante,Limpeza,60,36.75
2024-08-27,prod_050,Esponja de Aço,Limpeza,91,30.0
2024-05-16,prod_026,Nuggets,Congelados,98,10.42
2024-05-26,prod_007,Condicionador,Higiene,27,13.53
2024-09-07,prod_012,Açúcar,Alimentação,9,7.35
2024-07-17,prod_011,Peixe Congelado,Congelados,26,24.04
2024-08-27,prod_003,Bife de Alcatra,Carnes,75,38.02
2024-06-30,prod_030,Croissant,Padaria,14,49.73
2024-07-27,prod_002,Perfume,Cosméticos,59,40.75
2024-05-02,prod_018,Leite Integral,Frios e Laticínios,38,28.75
2024-07-20,prod_037,Linguiça,Carnes,37,41.8
2024-10-13,prod_002,Perfume,Cosméticos,70,40.75
2024-08-22,prod_020,Limpa Vidros,Limpeza,74,10.48
2024-09-04,prod_045,Requeijão,Frios e Laticínios,51,34.06
2024-09-10,prod_022,Filé de Peito de Frango,Carnes,11,36.71
2024-06-02,prod_016,Croissant,Padaria,73,37.36
2024-06-04,prod_041,Fósforo,Diversos,75,36.86
2024-09-09,prod_033,Sabão em Pó,Limpeza,42,13.43
2024-08-13,prod_014,Protetor Solar,Cosméticos,41,12.84
2024-08-16,prod_029,Pão de Forma,Padaria,78,11.52
2024-07-23,prod_002,Perfume,Cosméticos,69,40.75
2024-06-22,prod_015,Pão de Forma,Padaria,95,42.57
2024-09-26,prod_035,Esmalte,Cosméticos,44,45.96
2024-05-30,prod_048,Peixe Congelado,Congelados,64,15.82
2024-05-03,prod_027,Leite Integral,Frios e Laticínios,58,22.96
2024-05-05,prod_046,Amaciante,Limpeza,83,36.75
2024-08-10,prod_036,Pão Integral,Padaria,100,11.68
2024-04-24,prod_030,Croissant,Padaria,69,49.73
2024-06-16,prod_048,Peixe Congelado,Congelados,30,15.82
2024-06-28,prod_041,Fósforo,Diversos,2,36.86
2024-07-06,prod_041,Fósforo,Diversos,36,36.86
2024-07-02,prod_041,Fósforo,Diversos,60,36.86
2024-08-12,prod_005,Multiuso,Limpeza,36,29.72
2024-09-27,prod_006,Batata Frita Congelada,Congelados,69,45.94
2024-05-05,prod_013,Costela,Carnes,4,17.56
2024-05-14,prod_047,Pão Francês,Padaria,28,17.71
2024-05-11,prod_018,Leite Integral,Frios e Laticínios,51,28.75
2024-07-04,prod_048,Peixe Congelado,Congelados,40,15.82
2024-08-25,prod_002,Perfume,Cosméticos,63,40.75
2024-08-08,prod_013,Costela,Carnes,54,17.56
2024-09-04,prod_035,Esmalte,Cosméticos,51,45.96
2024-06-06,prod_015,Pão de Forma,Padaria,61,42.57
2024-09-30,prod_017,Esponja de Aço,Limpeza,58,14.38
2024-04-24,prod_009,Suco de Laranja,Bebidas,9,33.15
2024-09-19,prod_018,Leite Integral,Frios e Laticínios,48,28.75
2024-08-07,prod_040,Nuggets,Congelados,63,29.19
2024-05-30,prod_027,Leite Integral,Frios e Laticínios,84,22.96
2024-09-30,prod_011,Peixe Congelado,Congelados,8,24.04
2024-05-06,prod_034,Guardanapos,Diversos,73,7.56
2024-10-19,prod_008,Carne Moída,Carnes,79,39.03
2024-07-31,prod_044,Manteiga,Frios e Laticínios,19,39.71
2024-05-16,prod_016,Croissant,Padaria,33,37.36
2024-09-06,prod_046,Amaciante,Limpeza,2,36.75
2024-05-07,prod_012,Açúcar,Alimentação,27,7.35
2024-09-20,prod_044,Manteiga,Frios e Laticínios,19,39.71
2024-09-06,prod_020,Limpa Vidros,Limpeza,96,10.48
2024-10-06,prod_040,Nuggets,Congelados,4,29.19
2024-09-15,prod_002,Perfume,Cosméticos,98,40.75
2024-08-02,prod_042,Esponja de Aço,Limpeza,9,34.71
2024-04-23,prod_029,Pão de Forma,Padaria,45,11.52
2024-09-11,prod_035,Esmalte,Cosméticos,20,45.96
2024-06-24,prod_050,Esponja de Aço,Limpeza,91,30.0
2024-07-04,prod_011,Peixe Congelado,Congelados,2,24.04
2024-06-06,prod_043,Farinha de Trigo,Alimentação,86,11.56
2024-05-25,prod_045,Requeijão,Frios e Laticínios,82,34.06
2024-09-02,prod_049,Loção Hidratante,Cosméticos,60,18.19
2024-06-27,prod_009,Suco de Laranja,Bebidas,31,33.15
2024-10-09,prod_047,Pão Francês,Padaria,41,17.71
2024-10-04,prod_008,Carne Moída,Carnes,53,39.03
2024-07-25,prod_025,Peixe Congelado,Congelados,89,48.54
2024-05-14,prod_018,Leite Integral,Frios e Laticínios,25,28.75
2024-10-14,prod_050,Esponja de Aço,Limpeza,42,30.0
2024-09-12,prod_041,Fósforo,Diversos,3,36.86
2024-08-09,prod_026,Nuggets,Congelados,44,10.42
2024-10-02,prod_014,Protetor Solar,Cosméticos,33,12.84
2024-09-27,prod_020,Limpa Vidros,Limpeza,35,10.48
2024-08-30,prod_029,Pão de Forma,Padaria,21,11.52
2024-05-27,prod_032,Requeijão,Frios e Laticínios,97,8.51
2024-06-06,prod_042,Esponja de Aço,Limpeza,100,34.71
2024-04-27,prod_025,Peixe Congelado,Congelados,72,48.54
2024-06-26,prod_034,Guardanapos,Diversos,82,7.56
2024-06-22,prod_025,Peixe Congelado,Congelados,93,48.54
2024-05-13,prod_019,Hambúrguer Congelado,Congelados,16,46.57
2024-09-28,prod_016,Croissant,Padaria,50,37.36
2024-07-25,prod_038,Pizza Congelada,Congelados,32,37.38
2024-10-06,prod_006,Batata Frita Congelada,Congelados,2,45.94
2024-08-01,prod_032,Requeijão,Frios e Laticínios,1,8.51
2024-10-20,prod_006,Batata Frita Congelada,Congelados,14,45.94
2024-09-01,prod_032,Requeijão,Frios e Laticínios,15,8.51
2024-06-25,prod_046,Amaciante,Limpeza,19,36.75
2024-04-26,prod_035,Esmalte,Cosméticos,72,45.96
2024-06-22,prod_016,Croissant,Padaria,35,37.36
2024-08-12,prod_004,Requeijão,Frios e Laticínios,47,14.14
2024-05-07,prod_019,Hambúrguer Congelado,Congelados,67,46.57
2024-07-28,prod_009,Suco de Laranja,Bebidas,85,33.15
2024-10-05,prod_039,Suco de Laranja,Bebidas,14,47.16
2024-05-25,prod_028,Vinho Tinto,Bebidas,33,10.07
2024-06-23,prod_046,Amaciante,Limpeza,40,36.75
2024-05-17,prod_007,Condicionador,Higiene,100,13.53
2024-08-19,prod_039,Suco de Laranja,Bebidas,51,47.16
2024-05-11,prod_025,Peixe Congelado,Congelados,77,48.54
2024-08-27,prod_023,Queijo Mussarela,Frios e Laticínios,77,21.01
2024-05-07,prod_040,Nuggets,Congelados,86,29.19
2024-06-19,prod_021,Carvão para Churrasco,Diversos,9,5.64
2024-06-12,prod_018,Leite Integral,Frios e Laticínios,34,28.75
2024-06-30,prod_022,Filé de Peito de Frango,Carnes,29,36.71
2024-07-05,prod_042,Esponja de Aço,Limpeza,34,34.71
2024-06-27,prod_029,Pão de Forma,Padaria,43,11.52
2024-09-30,prod_049,Loção Hidratante,Cosméticos,69,18.19
2024-04-30,prod_044,Manteiga,Frios e Laticínios,63,39.71
2024-06-10,prod_001,Bolo de Chocolate,Padaria,53,9.56
2024-09-05,prod_022,Filé de Peito de Frango,Carnes,53,36.71
2024-05-16,prod_008,Carne Moída,Carnes,17,39.03
2024-10-13,prod_006,Batata Frita Congelada,Congelados,69,45.94
2024-08-03,prod_044,Manteiga,Frios e Laticínios,31,39.71
2024-08-26,prod_010,Iogurte,Frios e Laticínios,49,16.1
2024-08-14,prod_038,Pizza Congelada,Congelados,33,37.38
2024-09-05,prod_033,Sabão em Pó,Limpeza,51,13.43
2024-06-22,prod_033,Sabão em Pó,Limpeza,24,13.43
2024-08-10,prod_042,Esponja de Aço,Limpeza,81,34.71
2024-08-13,prod_013,Costela,Carnes,78,17.56
2024-05-07,prod_006,Batata Frita Congelada,Congelados,47,45.94
2024-09-26,prod_018,Leite Integral,Frios e Laticínios,29,28.75
2024-07-31,prod_018,Leite Integral,Frios e Laticínios,82,28.75
2024-09-28,prod_011,Peixe Congelado,Congelados,93,24.04
2024-09-22,prod_023,Queijo Mussarela,Frios e Laticínios,63,21.01
2024-10-08,prod_007,Condicionador,Higiene,81,13.53
2024-10-05,prod_039,Suco de Laranja,Bebidas,65,47.16
2024-09-07,prod_043,Farinha de Trigo,Alimentação,7,11.56
2024-09-21,prod_044,Manteiga,Frios e Laticínios,29,39.71
2024-09-05,prod_004,Requeijão,Frios e Laticínios,55,14.14
2024-04-27,prod_031,Condicionador,Higiene,65,8.94
2024-04-30,prod_005,Multiuso,Limpeza,83,29.72
2024-06-01,prod_005,Multiuso,Limpeza,49,29.72
2024-08-29,prod_012,Açúcar,Alimentação,11,7.35
2024-06-14,prod_040,Nuggets,Congelados,36,29.19
2024-06-12,prod_038,Pizza Congelada,Congelados,9,37.38
2024-07-18,prod_016,Croissant,Padaria,55,37.36
2024-09-09,prod_023,Queijo Mussarela,Frios e Laticínios,6,21.01
2024-06-10,prod_045,Requeijão,Frios e Laticínios,81,34.06
2024-04-30,prod_030,Croissant,Padaria,47,49.73
2024-06-16,prod_046,Amaciante,Limpeza,87,36.75
2024-07-21,prod_044,Manteiga,Frios e Laticínios,46,39.71
2024-09-27,prod_016,Croissant,Padaria,93,37.36
2024-09-01,prod_013,Costela,Carnes,79,17.56
2024-09-28,prod_004,Requeijão,Frios e Laticínios,77,14.14
2024-08-09,prod_015,Pão de Forma,Padaria,13,42.57
2024-07-25,prod_022,Filé de Peito de Frango,Carnes,75,36.71
2024-07-18,prod_031,Condicionador,Higiene,82,8.94
2024-07-25,prod_030,Croissant,Padaria,79,49.73
2024-09-28,prod_015,Pão de Forma,Padaria,10,42.57
2024-10-07,prod_048,Peixe Congelado,Congelados,97,15.82
2024-09-16,prod_044,Manteiga,Frios e Laticínios,1,39.71
2024-06-28,prod_014,Protetor Solar,Cosméticos,93,12.84
2024-09-14,prod_026,Nuggets,Congelados,35,10.42
2024-05-11,prod_001,Bolo de Chocolate,Padaria,24,9.56
2024-07-29,prod_032,Requeijão,Frios e Laticínios,31,8.51
2024-05-13,prod_037,Linguiça,Carnes,98,41.8
2024-08-24,prod_010,Iogurte,Frios e Laticínios,85,16.1
2024-05-23,prod_011,Peixe Congelado,Congelados,1,24.04
2024-05-26,prod_012,Açúcar,Alimentação,6,7.35
2024-08-17,prod_015,Pão de Forma,Padaria,33,42.57
2024-04-29,prod_012,Açúcar,Alimentação,60,7.35
2024-07-25,prod_029,Pão de Forma,Padaria,56,11.52
2024-07-15,prod_016,Croissant,Padaria,48,37.36
2024-10-15,prod_016,Croissant,Padaria,77,37.36
2024-09-23,prod_028,Vinho Tinto,Bebidas,35,10.07
2024-08-03,prod_046,Amaciante,Limpeza,90,36.75
2024-08-07,prod_031,Condicionador,Higiene,34,8.94
